Event,Start Date,Locations Affected,Casualties,Significant Impacts,Contributing Factors,End Date,Displaced People,Missing Persons,Houses Destroyed,Crops Inundated,Total Damages (Yuan),States Affected,Estimated Damages,Evacuees,Injured Individuals,trigger
March 2008 Midwest Floods,March 2008,"Southern Midwest, Southern Plains, Cape Girardeau, Missouri, Arkansas, St. Louis, Wisconsin, Louisiana",17 deaths,"Levee breaks, river flooding, record rainfall, major flood stage, damage to homes","Strong low-pressure centers, stationary front, Gulf of Mexico moisture, severe weather, heavy rain, ice jams",May 2008,,,,,,,,,,Early Spring 2008 Midwest floods
January 2010 Rio de Janeiro Floods,January 2010,"State of Rio de Janeiro, Brazil",At least 85 deaths,"Destruction of Hotel Sankey, evacuation of 4,000 people, worst affected municipality Angra dos Reis, resort on Ilha Grande, bridge collapse in Rio Grande do Sul, dead fish in lagoon","Landslides, heavy rains, mudslides, blocked roads, nuclear power plant shutdown, bridge collapse, algal blooms, eutrophication",N/A,,,,,,,,,,January 2010 Rio de Janeiro floods and mudslides
2011 Rio de Janeiro Floods,January 2011,"Nova Friburgo, Teresópolis, Petrópolis, Bom Jardim, Sumidouro, São José do Vale do Rio Preto",903 deaths,"Widespread flooding, mudslides, landslides, 2960 homes destroyed, property damage, disruption of public utilities","Excessive rainfall, steep terrain, Humidity Convergence Zone, Serra dos Órgãos national park",,,,,,,,,,,January 2011 Rio de Janeiro floods and mudslides
January 2018 American West Floods,January 2018,"Western United States, including Southern California, Nevada, Las Vegas, Phoenix, Mammoth Mountain, Portland, Oregon, Washington",23 deaths,"Heavy precipitation, flooding, mudflows, hurricane-force winds, power outages, flash floods, road closures, snowfall, transportation disruptions","Heavy rain, wildfires exacerbating effects, gusty winds, mountain snow, snowpack replenishment, flooding in burned areas, winter warnings, tropical storm-force winds, power outages, transportation interference",Ongoing,Not specified,Not specified,,,,,,,,January 2018 Western United States floods
2012 Beijing Flood,"July 21, 2012","Beijing, China",79 deaths,"Evacuation of 56,933 people, 10 billion Yuan in damages, 8,200 homes destroyed, 1.6 million people affected","Record-setting rainfall, limited urban drainage capacity, loss of natural water bodies, urbanization effects",,,,,,,,,,,July 2012 Beijing flood
2015 Gujarat Floods,July 2015,"Gujarat, India",72 deaths,"Heavy rainfall, flood damage, 81609 cattle deaths, ₹ 2000 crore property damage, 2 lakh hectares of failed crops","Monsoon season, deep depression in Arabian Sea, heavy rain, deep depression over Rajasthan and Gujarat",N/A,Not specified,Not specified,,,,,,,,July 2015 Gujarat flood
June 2007 Texas Flooding,June 2007,Northern Texas,2 deaths,"Heavy flooding, 200mm of rain, 300 homes evacuated, $50 million in damages, 156 flash flood warnings issued","Slow-moving frontal system, moisture from Gulf of Mexico, swollen streams and lakes",,,,,,,,,,,June 2007 Texas flooding
June 2008 Midwestern US Floods,June 2008,"Illinois, Indiana, Iowa, Michigan, Minnesota, Missouri, Wisconsin",13 deaths,"Rivers overflowed, levee breaks, flooding for weeks, tens of billions of dollars in damage","Months of heavy precipitation, rivers overflowed, levee breaches, National Guard mobilized",July 2008,,,,,,,,,,June 2008 Midwest floods
2021 Bahia Floods,24 December 2021,"Bahia, Brazil",21 deaths,"Severe floods, worst disaster in Bahia's history, 72 municipalities in state of emergency, dams collapse, heavy rainfall","Record rainfall, state of emergency declared, joint rescue operation, dams collapse, previous flooding by Subtropical Storm Ubá",Ongoing,"62,800",,,,,,,,358,Late December 2021 Bahia floods
2005 Los Angeles County Flood,January 2005,"Los Angeles, Santa Barbara, Orange, San Diego, Riverside, San Bernardino, Ventura, Santa Ynez, Santa Clara",17 deaths,"Flooding in multiple rivers, record rainfall in downtown LA, mudslide in Ventura County, $300 million in damages","Heavy rain causing river overflow, record snowfall in mountain areas",January 2005,,,,,,,,,,Los Angeles County flood of 2005
May 2004 Caribbean Floods,"May 18, 2004","Caribbean Islands - Hispaniola, Northern Puerto Rico","Approximately 2,000 deaths","Destruction of over 1,300 homes, displacement of nearly 15,000 people, severe flooding in Jimaní","Persistent rainfall over two weeks, landslides, broad low pressure area over Central America","May 25, 2004",,,,,,,,,,May 2004 Caribbean floods
2012 Nepal Floods,May 2012,"Western Nepal, Seti River, Kharapani, Sardikhola, Pokhara",26 deaths,"Houses, temples, and community buildings swept away, infrastructure damage, power and water supply disruption","Waters from the Seti river, high above snowline, days of rain, sudden bursting, landslide, debris blockage",,,44 missing,,,,,,,,May 2012 Nepal floods
Shalan Town Flood 2005,10 June 2005,"Shalan Town, Ning'an, Mudanjiang, Heilongjiang Province, China",117 deaths,"Submersion of Shalan Town Central Primary School, 117 fatalities including 105 students",,,,,,,,,,,,Shalan Town flood of 2005
