Date,Location,Casualties,Cause,Impact,Injuries,Additional Information,Key Information,Locations,Causes/Suspected Causes,Government Response,Denial of Reports,Impact on Facilities,Alleged Involvement of Foreign Entities,Retaliation Vow,Specific Incidents,Official Explanation,Event,trigger
"July 12, 2012","Okobie, Nigeria","At least 121 killed, at least 75 injured",Tanker explosion after collision and fuel spill,"Tank truck collision, fuel spill, explosion, initial death toll, revised death toll, injured count, motorcycle taxis destroyed, response from emergency services, statements from officials",-,"Nigerian National Emergency Management Agency, Federal Road Safety Commission of Rivers State, President Goodluck Jonathan's statements",,,,,,,,,,,,Okobie road tanker explosion
"September 21, 1921","Oppau, Ludwigshafen, Germany","500-600 killed, 2,000 injured",Ammonium sulfate and nitrate explosion,"Explosion at BASF plant, production of ammonium sulfate and nitrate, storage in tower silo, detonation method, impact of World War I on production, explosive nature of ammonium nitrate, storage conditions, detonation causes, historical context",-,,,,,,,,,,,,,Oppau explosion
"May 4, 1988","Henderson, Nevada","2 fatalities, 372 injuries",Fire and explosions at chemical plant,"Blast radius affecting Las Vegas Valley, production of ammonium perchlorate, proximity to Kerr-McGee facility, high-pressure gas transmission line, storage of excess product for Space Shuttle program",$100 million in damage,,,,,,,,,,,,,PEPCON disaster
"September 12, 2015","Petlawad, Jhabua district, Madhya Pradesh, India",104 killed,Explosions due to illegally stored explosives and cooking gas cylinder,"Two explosions, damage to buildings, deaths at bus stop, autopsies, compensation, political affiliations, investigation details",-,"Police report, suspected initial explosion location, impact on buildings, autopsies, compensation amounts, political affiliations, investigation findings",,,,,,,,,,,,Petlawad explosion
"November 15, 2008","Petrila, Hunedoara County, Romania","12 miners killed, 4 emergency workers killed",Methane gas explosions at coal mine,"Explosions at 800 feet depth, ban on mine entry, response from Prime Minister and President, relatives gathered at mine, cause of explosions, injured miners receiving treatment",8 miners injured,,,,,,,,,,,,,Petrila Mine disaster
"June 13, 1917","Bartlesville, Oklahoma, United States",,,,,,"Founded by Lee Eldas Phillips and Frank Phillips, headquartered in Bartlesville, Oklahoma, rapid expansion into oil and gas industry, involvement in natural gas sector, largest producer of natural gas liquids in the US by 1925",,,,,,,,,,Phillips Petroleum Company Establishment,Phillips explosion of 1999
"November 19, 2010","Pike River Mine, Greymouth, New Zealand",29 miners killed,Methane explosion in coal mine,"Worst mining disaster in New Zealand since 1914, worst loss of life from a single disaster since 1979, subsequent explosions, government apology, establishment of Pike River Recovery Agency, re-entry efforts, cost of recovery operations, progress update in 2021",2 miners injured,"31 miners and contractors underground, two survivors, location of miners during explosion, subsequent explosions, recovery agency establishment, government response, re-entry cost, progress update",,,,,,,,,,,,Pike River Mine disaster
"July 17, 1944","Port Chicago, California, United States","320 killed, 390 injured",Munitions explosion during loading,"Majority African American casualties, Port Chicago Mutiny, ""Port Chicago 50"" mutineers, court-martial proceedings, public pressure, Navy desegregation, Port Chicago Naval Magazine National Memorial, congressional resolution for exoneration",-,,,,,,,,,,,,,Port Chicago disaster
"December 13, 1994","Port Neal Complex, Iowa, United States","4 killed, 18 injured",Ammonium nitrate plant explosion,"Building destroyed, crater left, damage to surrounding structures, electricity stations disabled, power disruption in Nebraska, ammonia release, evacuation of 1,700 residents",-,"Terra International, Inc., seven-story building, high-voltage line damage, EPA investigation, unsafe operating procedures, thermal decomposition reaction, lack of written procedures, acidic conditions, steam application, bubbles in neutralizer, chlorides presence",,,,,,,,,,,,Port Neal fertilizer plant explosion
"April 10, 2016","Paravur, Kollam, Kerala, India","111 killed, 350+ injured",Firework explosion at Puttingal Temple,"Temple and 150 houses damaged, sparks from firecracker igniting fireworks, lack of permission for competitive display, festival of goddess Bhadrakali, ban on sound-emitting firecrackers, previous firework disasters in southern India",Severe burns reported,"15,000 pilgrims, Kerala High Court intervention, Sivakasi factory explosion, private trust administration, traditional fireworks displays, safety concerns and permission issues",,,,,,,,,,,,Puttingal temple fire
"May 2, 2017","Dafang County, Guizhou, China","12 killed, 12 injured",Tunnel construction explosion,"Explosion during tunnel construction, suspected gas leak, China-related article stub",-,"Wikipedia stub for China-related event, Qishanyan Tunnel construction, railway tunnel project, construction site details",,,,,,,,,,,,Qishanyan Tunnel explosion
"January 10, 2021","Qixia, Shandong, China","10 dead, 1 missing, 11 rescued","Explosion at Hushan gold mine, tunnel collapse","Access tunnel collapse, miners trapped underground, explosion details, rescue timeline, inadequate initial assessment, communication delay, response efforts, authorities involved, investigation initiation",-,,,,,,,,,,,,,Qixia gold mine accident
"November 27, 1944","Staffordshire, England",Approximately 70 deaths,RAF Fauld explosion,"One of the largest non-nuclear explosions in history, explosion crater visible, reservoir obliterated, buildings destroyed, flood damage",,"3,500-4,000 tonnes of ordnance exploded, cause of explosion possibly due to worker using brass chisel on live bomb, site worker shortages, management issues, Italian prisoners of war involvement",,,,,,,,,,,,RAF Fauld explosion
"February 27, 2019","Ramses Station, Cairo, Egypt","25 killed, 40 injured","Locomotive collision with buffers, explosion, fire","Major blaze, fireball, blackened station walls, locomotive inside station, eyewitness account, driver's actions, Transport Minister resignation, calls for accountability",-,"Unmanned train striking barrier, driver leaving train, Prosecutor General's statement, death penalty calls, Egypt's rail safety measures",,,,,,,,,,,,Ramses Station rail disaster
"May 8, 2010","Mezhdurechensk, Kemerovo Oblast, Russia","66 dead, 99 injured, 24 missing",Methane gas explosion,"Largest underground coal mine in Russia, owned by Raspadskaya, history of accidents, initial and secondary explosions, ventilation shaft collapse, rescue efforts, mine production, previous safety incidents",20 rescue workers trapped,,,,,,,,,,,,,Raspadskaya mine explosion
"April 22, 2004","Ryongchŏn, North Korea","At least 54 killed, 1,249 injured",Flammable cargo explosion at Ryongchon Station,"State of emergency declared, initial reports of 3,000 casualties, Red Cross access, international aid appeal, speculation on accident cause",-,,,,,,,,,,,,,Ryongchon disaster
"November 3, 1995","Río Tercero, Córdoba, Argentina","7 killed, over 300 injured",Series of explosions at Río Tercero Military Factory,"Factory and city destroyed, explosion ruled as accident, subsequent investigations revealed deliberate planning, sentencing of high functionaries, involvement of former President Carlos Menem",-,"Smuggling of weapons to Croatia and Ecuador, Federal Oral Tribunal of Córdoba N° 2 sentence, engineers and retired military men convicted, hiding of smuggling activities, investigation of Carlos Menem, blast time, location of factory, impact on city, casualties not factory employees",,,,,,,,,,,,R铆o Tercero explosion
"February 14, 2022","Rue Arago, Saint-Laurent-de-la-Salanque, France","8 killed, 30 injured",Explosion and fire in building,"Blast and fire in building, apartments affected, witness descriptions, firefighting efforts, victims' demographics, psychological damage to survivors, missing person, investigation details, suspects in custody, official statements","3 severe smoke inhalation, 1 serious injuries from jumping",,,,,,,,,,,,,Saint-Laurent-de-la-Salanque explosion
"November 19, 1984","San Juanico, Tlalnepantla de Baz, Mexico","500-600 killed, 5000-7000 severely burned",Series of explosions at LPG tank farm,"11,000 m3 of LPG consumed, facility destroyed, town devastated, one of the deadliest industrial disasters",-,"Petroleos Mexicanos facility, 54 LPG storage tanks, 6 large spherical tanks, 48 smaller tanks, gas leak, vapor cloud explosion, BLEVE explosions, ineffective gas detection system",,,,,,,,,,,,San Juanico disaster
"November 3, 2004","Seest, Kolding, Denmark","1 firefighter dead, 7 rescue team injured, 17 locals injured",Fireworks warehouse explosion,"2,000 people evacuated, 8 fire and rescue vehicles destroyed","34 rescuers, 8 police, 27 Emergency Management Agency treated for smoke inhalation","N. P. Johnsens Fyrværkerifabrik, 355 houses damaged, 176 uninhabitable, 284 tons of fireworks stored, €100 million in damages, investigation results, accidental ignition of fireworks, initial suspicions, container fire response",,,,,,,,,,,,Seest fireworks disaster
"August 26, 2012","Yan'an, Shaanxi province, China",36 killed,Double-decker bus crash into methanol tanker,"Deadliest accident in China since 2011, tanker loaded with methanol, early-morning crash, passengers sleeping, identities of victims confirmed, investigation into safety official, outrage over official's behavior",3 injured,,,,,,,,,,,,,Shaanxi bus–tanker crash
"January 30, 1900","Sibley Quarry, Trenton, Michigan",1 worker killed,Dynamite explosion,"2,000 lb of dynamite detonated, explosion felt over 25 mi away, explosives stored in shanty, foreman reported small explosion before large one",1 injury,"Nelson Burbo killed, Thomas Fitzpatrick's wife injured, Charles Freedon crippled, remains found, shanty destruction, crater size, blast impact radius",,,,,,,,,,,,Sibley Quarry explosion
"September 5, 2012","Sivakasi, India","40 killed, 70+ injured",Factory explosion at Om Sakthi Fireworks Industries,"Lack of valid license, fireworks capital of India, suspension of license, high production pressure, chemical mixing, high ambient temperature, delayed firefighter entry, inadequate hospital facilities, final death toll, duration of firefighting efforts",-,"Hindu festival of Diwali, fireworks production in Sivakasi, number of factories, factory complex details, suspension reasons, worker safety violations, delayed treatment, explosion sounds, challenges faced during rescue operations",,,,,,,,,,,,Sivakasi factory explosion
"May 13-15, 2014","Soma, Manisa, Turkey",301 killed,"Explosion at Eynez coal mine, underground mine fire","Worst mine disaster in Turkey's history, mine operated by Soma Kömür İşletmeleri A.Ş., 787 workers underground, cause under investigation",-,"Minister of Energy and Natural Resources confirmation, Disaster and Emergency Management Presidency announcement, political context, poor mine-safety conditions in Turkey, previous mining accidents in the country",,,,,,,,,,,,Soma mine disaster
"January 28, 1986","Cape Canaveral, Florida, United States",7 crew members killed,"Space Shuttle Challenger disaster, O-ring seal failure","Space Shuttle disintegrated, mission details, cause of failure, recovery operation, lack of escape system, impact of the explosion",-,"STS-51-L mission, Challenger orbiter, Space Shuttle fleet, communications satellite deployment, study of Halley's Comet, O-ring seal vulnerability to low temperatures, aerodynamic forces, crew compartment recovery",,,,,,,,,,,,Space Shuttle Challenger disaster
"May 11, 2004","Woodside, Maryhill, Glasgow, Scotland","9 killed (including 2 directors), 33 injured (15 seriously)",ICL Plastics factory explosion,"Four-storey building destroyed, approximately 100 workers, explosion, building collapse, first responders, rescue operations, search and rescue equipment used, survivors rescued, continued search efforts, support from emergency services and volunteer groups",-,"Patient Transport Ambulance crew, sniffer dogs, carbon dioxide detectors, thermal-imaging equipment, fibre-optic cameras, trapped workers, Sea King rescue helicopter, RAF Leconfield, RAF Waddington, International Rescue Corps, earthquake rescue specialists",,,,,,,,,,,,Stockline Plastics factory explosion
"October 26, 2017","Tangerang, Indonesia","At least 49 killed, 46 injured, several missing",Accidental ignition of stored fireworks,"Deadliest industrial accident in Indonesia, explosion at fireworks factory, initial investigation findings, cause of explosion, eyewitness reports, factory workers, two explosions, impact on nearby residents, evacuation of students",-,,,,,,,,,,,,,Tangerang fireworks disaster
"April 16, 1947","Texas City, Texas, United States","At least 581 killed, including most of the Texas City volunteer fire department",Ammonium nitrate explosion on SS Grandcamp,"Deadliest industrial accident in U.S. history, one of the largest non-nuclear explosions, chain reaction of fires and explosions, first class action lawsuit against the U.S. government, cargo details of SS Grandcamp, Cold War gesture, cargo intended for export to Europe",-,"437-foot-long Liberty ship, originally named SS Benjamin R. Curtis, cargo details, SS High Flyer proximity, intended export destination, cargo mix, port authority restrictions, cargo intended for farmers in Europe",,,,,,,,,,,,Texas City disaster
"March 23, 2005","Texas City, Texas","15 fatalities, 180 injuries",Vapor cloud ignition and explosion at BP Texas City Refinery,"Second-largest oil refinery in Texas, third-largest in the US, input capacity, BP acquisition, direct cause of the accident, technical and organizational failings, sale to Marathon Petroleum Corporation, refinery maintenance issues, safety concerns identified by Telos report",Severe damage to the refinery,,,,,,,,,,,,,Texas City Refinery explosion
"August 10, 2008","Downsview, North York, Toronto, Ontario, Canada","2 deaths (1 employee, 1 firefighter), thousands evacuated",Series of explosions at Sunrise Propane Industrial Gases facility,"C$1.8 million cleanup cost, evacuation of residents, employee death, firefighter death, company background, legal issues, explosion time, location",-,,,,,,,,,,,,,Toronto propane explosion
"January 31, 2013","Mexico City, Mexico","At least 37 dead, 121 injured",Gas leak explosion at Torre Ejecutiva Pemex,"Explosion in parking garage, partial collapse of Building B-2, evacuation, trapped individuals, search and rescue operations, cause of blast, casualties update, Pemex CEO statement",-,,,,,,,,,,,,,Torre Ejecutiva Pemex explosion
"September 21, 2001","Toulouse, France","31 deaths, 30 seriously wounded, 2,500 light casualties",Explosion at AZF fertiliser factory,"Factory destroyed, crater with 7m depth, 40m diameter, steel girders found 3km away, blast measured 3.4 on Richter scale, power equivalent to 20-40 tons of TNT, heard 80km away, controversy over number of explosions, 1km from inhabited area, 10% of Toulouse evacuated, 1.5 billion euros in damages, potential terrorist attack, investigation details",70 eye wounds,,,,,,,,,,,,,Toulouse chemical factory explosion
"July 9, 1872","Glasgow, Scotland","18 deaths, at least 16 injured",Flour Mills explosion,"Grain feed to millstones stopped, resulting in spark, grain dust explosion, building destruction",-,"Investigation findings, owner of the mill, operation duration, building structure, surrounding area, time of explosion, initial and secondary explosions, impact on employees and neighboring businesses",,,,,,,,,,,,Tradeston Flour Mills explosion
"June 4, 1989","Iglinsky District, Bashkir ASSR, Soviet Union","575 killed, 800 injured",Faulty gas pipeline leak igniting a flammable cloud from natural gas liquids,"Deadliest rail disaster in Soviet/Russian history, annual commemoration at Ulu-Telyak station, memorial at disaster site",-,"Pipeline originally for oil, reformatted for natural gas liquids, cancellation of leak detection system, mechanical damage to pipe, increased pressure in system, passenger trains explosion, faulty gas pipeline leak, flammable cloud ignition, military and medical response",,,,,,,,,,,,Ufa train disaster
"April 5, 2010","Montcoal, West Virginia",29 miners killed,Coal dust explosion at Upper Big Branch mine,"Worst U.S. mining disaster since 1970, Massey Energy responsible, state investigation findings, Mine Safety and Health Administration report, citations issued, penalties assessed, Alpha Natural Resources settlement, criminal liabilities, legal proceedings, mine closure, Don Blankenship conviction",-,,,,,,,,,,,,,Upper Big Branch Mine disaster
"February 28, 1844","Potomac River, United States","2 government officials killed, others injured",Gun explosion on USS Princeton,"Secretary of State Abel P. Upshur, Secretary of the Navy Thomas Walker Gilmer, United States Senator, Captain Robert F. Stockton, President John Tyler, ship's reputation, ship's designer John Ericsson, ship's construction, ship's launch, ship's commissioning, sea trials, British steamer race, outfitting, readiness for sea",-,,,,,,,,,,,,,USS Princeton Disaster of 1843
"February 25, 2016","Vorkuta, Komi Republic, Russia","36 deaths (31 miners, 5 rescue workers)",Methane gas explosions at Severnaya coal mine,"Second deadliest mining disaster of the 2010s, fourth deadliest of the 21st century, coal-rich area, mine operated by Vorkutaugol, subsidiary of Severstal, mine production in 2015, two initial explosions, partial collapse, third explosion, rescue efforts, challenges faced during rescue operations","81 miners with minor injuries, 26 trapped",,,,,,,,,,,,,Vorkuta mine disaster
"April 17, 2013","West, Texas, United States","15 killed, 160+ injured",Ammonium nitrate explosion,"Material that exploded, fire response, ATF statement, ownership, company history, number of employees, OSHA inspection history, citations, regulatory violations, environmental agency investigation",150+ buildings damaged or destroyed,,,,,,,,,,,,,West Fertilizer Company explosion
"January 29, 2003","Kinston, North Carolina, United States","6 killed, 36 injured",Industrial explosion at West Pharmaceutical Plant,"Second-worst industrial disaster in North Carolina, plant owned by West Pharmaceutical Services, inspector findings, fine, purpose of the plant, explosion details, shock wave impact, fire aftermath, damage cost, investigation focus",2 firefighters injured,,,,,,,,,,,,,West Pharmaceutical Services explosion
"June 13, 2013","Geismar, Louisiana","2 workers killed, 114 injured",Petrochemical plant explosion due to heat exchanger failure,"Investigations by OSHA and Chemical Safety Board, hydrocarbon flash to vapor, rupture of heat exchanger, explosion, shelter-in-place order, plant history, products manufactured, previous leaks, visible propylene gas leak in 2012",Effects felt several miles away,,,,,,,,,,,,,Williams Olefins Plant explosion
"September 14, 2007","Zalău, Romania","2 deaths, 15 injured",Gas leak explosion,"Block of flats demolished, 19 families affected",-,"E.ON Gaz involvement, delayed gas network maintenance, protests, legal proceedings, compensation amounts",,,,,,,,,,,,Zal膬u explosion
